SYMBOL,TYPE
EXLS,COMMON STOCK
EXPI,COMMON STOCK
EXE,COMMON STOCK
EXPE,COMMON STOCK
EXFY,COMMON STOCK
XPON,COMMON STOCK
EXPO,COMMON STOCK
EXTR,COMMON STOCK
EYEN,COMMON STOCK
EYPT,COMMON STOCK
EZPW,COMMON STOCK
EZFL,COMMON STOCK
EZGO,COMMON STOCK
FFIV,COMMON STOCK
FDS,COMMON STOCK
FBYD,COMMON STOCK
DUO,COMMON STOCK
FFIE,COMMON STOCK
FARM,COMMON STOCK
FMAO,COMMON STOCK
FMNB,COMMON STOCK
FAMI,COMMON STOCK
FARO,COMMON STOCK
FAST,COMMON STOCK
FAT,COMMON STOCK
FATBB,COMMON STOCK
FATE,COMMON STOCK
FTHM,COMMON STOCK
FBLA,COMMON STOCK
FEMY,COMMON STOCK
BCAN,COMMON STOCK
FEBO,COMMON STOCK
FENC,COMMON STOCK
